run,tumor_prob,min_entropy,average_degree,average_betweenness,average_page_rank,average_clustering_coefficient
8,0.6933333333333332,0.8972990999827659,2.1168032786885247,0.04341049938156679,0.001024590163934426,0.01929644808743169
9,0.6933333333333332,0.8810732829142729,2.119695321001088,0.006310798331077692,0.0010881392818280736,0.016322089227421118
10,0.6933333333333332,0.8755619658523943,2.1219272369714846,0.014377253804519478,0.0009832841691248767,0.020157325467059974
1,0.7922222222222222,0.7284630705597186,2.15005359056806,0.038609402492749106,0.0010718113612004287,0.02215076813147552
2,0.7922222222222222,0.7422642834947335,2.129166666666667,0.014081853197521496,0.0010416666666666667,0.012326388888888894
3,0.7922222222222222,0.7240581943282371,2.131212723658052,0.011988365933317263,0.00099403578528827,0.020543406229290913
4,0.7922222222222222,0.7187136625605826,2.156149732620321,0.022847072613762284,0.00106951871657754,0.024420677361853816
5,0.7922222222222222,0.7293387463331158,2.1555783009211873,0.03339605590197064,0.0010235414534288637,0.015011941316956679
6,0.7922222222222222,0.734555945133285,2.1103896103896105,0.004722200797786635,0.001082251082251082,0.019119769119769123
7,0.7922222222222222,0.7336907854720942,2.1503759398496243,0.037161820634983224,0.0010741138560687433,0.02685284640171857
8,0.7922222222222222,0.7388556558303616,2.147835269271383,0.0263583940360051,0.001055966209081309,0.02815909890883489
9,0.7922222222222222,0.7379991828611725,2.189520624303233,0.007230497975427535,0.001114827201783723,0.031029357116313605
10,0.7922222222222222,0.7258254558814109,2.1644120707596253,0.00857235856737402,0.0010405827263267426,0.02792230315643425
1,0.8911111111111111,0.5258213854314913,2.131868131868132,0.03262317469584011,0.001098901098901099,0.018681318681318688
2,0.8911111111111111,0.4692775519623674,2.114871794871795,0.004488627253758065,0.0010256410256410256,0.019145299145299142
3,0.8911111111111111,0.48045297485333854,2.1298129812981297,0.00411211727664614,0.0011001100110010998,0.020902090209020903
4,0.8911111111111111,0.496849119687793,2.154327424400417,0.0395698829984118,0.0010427528675703854,0.023809523809523794
5,0.8911111111111111,0.5283882882882044,2.1625282167042887,0.045109701860442865,0.0011286681715575618,0.028592927012791546
6,0.8911111111111111,0.5088673339797639,2.1426978818283167,0.0028447695430632034,0.001114827201783723,0.02378298030471943
7,0.8911111111111111,0.5035548233282332,2.1373134328358208,0.04113993078543205,0.00099502487562189,0.01791044776119403
8,0.8911111111111111,0.48733735329008293,2.1354838709677417,0.026572275318467713,0.001075268817204301,0.018279569892473126
9,0.8911111111111111,0.4818359501372157,2.150253807106599,0.03377709745463225,0.0010152284263959391,0.019966159052453466
10,0.8911111111111111,0.5167508353395991,2.1322803553800593,0.01767509623847111,0.0009871668311944714,0.01661730832510695
1,0.99,0.08232274765050408,2.1893860561914673,0.032640108839817196,0.0010405827263267426,0.027748872702046453
2,0.99,0.08232274765050408,2.282765737874097,0.026287664971099835,0.0010319917440660472,0.023735810113519076
3,0.99,0.06727103621422717,2.189239332096475,0.025881224132843578,0.0009276437847866416,0.020253555967841674
4,0.99,0.06727103621422717,2.1716566866267466,0.024502082747591688,0.0009980039920159678,0.02644710578842313
5,0.99,0.06727103621422717,2.161008729388943,0.009329442403569853,0.0009699321047526673,0.022146783058519224
6,0.99,0.06415979745227254,2.122153209109731,0.034293785227745725,0.0010351966873706003,0.01863354037267081
7,0.99,0.09666407299459491,2.16023166023166,0.02844076400968168,0.0009652509652509653,0.020431145431145426
8,0.99,0.08524302584619817,2.172348484848485,0.009439677561063477,0.0009469696969696969,0.025252525252525228
9,0.99,0.07937426925419028,2.171664943123061,0.02658039153066656,0.001034126163391934,0.02223371251292656
10,0.99,0.06415979745227254,2.1603128054740957,0.024237433337018142,0.0009775171065493644,0.023297491039426514
