run,prolif_prob,final_density,average_degree,average_betweenness,average_page_rank,average_clustering_coefficient
10,0.36473684210526314,0.018075,2.43161094224924,0.03549789011456385,0.0030395136778115493,0.10681908285978589
1,0.4168421052631579,0.026,2.4280701754385965,0.026314217834438287,0.0035087719298245615,0.11770319518603273
2,0.4168421052631579,0.03145,2.5432835820895523,0.023282411914103754,0.0029850746268656717,0.1306419823957138
3,0.4168421052631579,0.023,2.3870967741935485,0.007520712923155766,0.0032258064516129024,0.08940630456759488
4,0.4168421052631579,0.02235,2.4123711340206184,0.023655289681168052,0.003436426116838487,0.10440588941971891
5,0.4168421052631579,0.01285,2.262975778546713,0.025803949030592625,0.0034602076124567475,0.07867624878005501
6,0.4168421052631579,0.014425,2.22962962962963,0.02887729876022613,0.0037037037037037034,0.051670297748729124
7,0.4168421052631579,0.031125,2.490272373540856,0.03313222419317922,0.0038910505836575867,0.12078764296663129
8,0.4168421052631579,0.01575,2.174193548387097,0.02499555982174209,0.0032258064516129024,0.02734254992319508
9,0.4168421052631579,0.00725,2.4,0.03615306526338569,0.0032786885245901635,0.060382513661202175
10,0.4168421052631579,0.00605,2.261168384879725,0.05547025652443283,0.003436426116838487,0.02678650101330514
1,0.46894736842105267,0.006,2.236760124610592,0.04214628560825791,0.003115264797507788,0.03859466943579095
2,0.46894736842105267,0.00975,2.236065573770492,0.03443171107447242,0.003278688524590163,0.07302272073626684
3,0.46894736842105267,0.011425,2.362369337979094,0.02064029252732719,0.003484320557491289,0.0595364338736555
4,0.46894736842105267,0.0115,2.368231046931408,0.05096188695937558,0.0036101083032490967,0.07846798622349478
5,0.46894736842105267,0.020325,2.4527027027027026,0.0594710674008495,0.003378378378378378,0.1161445536445537
6,0.46894736842105267,0.030875,2.4518072289156625,0.023532967354173626,0.0030120481927710836,0.10302951849326031
7,0.46894736842105267,0.024575,2.440677966101695,0.02636387927068786,0.0033898305084745753,0.09170795306388527
8,0.46894736842105267,0.0394,2.8721311475409834,0.0325901895625283,0.0032786885245901635,0.22378337277065632
9,0.46894736842105267,0.030125,2.541254125412541,0.030578972618610124,0.0033003300330033004,0.13949581398817845
10,0.46894736842105267,0.018875,2.422857142857143,0.04911085390583464,0.0028571428571428567,0.0961075268817204
1,0.5210526315789474,0.0362,2.581699346405229,0.031783442453771835,0.0032679738562091496,0.12322020964062172
2,0.5210526315789474,0.03785,2.714828897338403,0.03012555390857865,0.0038022813688212928,0.1560173553249997
3,0.5210526315789474,0.032725,2.4768683274021353,0.027789439734107396,0.003558718861209964,0.12056836350508023
4,0.5210526315789474,0.039975,2.5859375,0.018913559518295507,0.0039062499999999996,0.15181477864583337
5,0.5210526315789474,0.0283,2.5547945205479454,0.04282286903434317,0.0034246575342465747,0.09752001852954795
6,0.5210526315789474,0.02315,2.2919254658385095,0.013992872138697007,0.0031055900621118,0.06905419172499916
7,0.5210526315789474,0.02115,2.4412811387900355,0.008118634895124393,0.003558718861209964,0.11430355247549476
8,0.5210526315789474,0.04035,2.688,0.031546962041715226,0.003999999999999999,0.1674617819990953
