run,death_prob,final_density,average_degree,average_betweenness,average_page_rank,average_clustering_coefficient
4,0.5210526315789474,0.000175,2.150326797385621,0.0397893439803301,0.003267973856209149,0.032679738562091505
5,0.5210526315789474,0.0001,2.1363636363636362,0.04028065673016813,0.0032467532467532452,0.025974025974025962
6,0.5210526315789474,5e-05,2.1806853582554515,0.05463011113389779,0.003115264797507787,0.040498442367601264
7,0.5210526315789474,0.000175,2.1538461538461537,0.015958057932227675,0.0036630036630036613,0.014041514041514044
8,0.5210526315789474,2.5e-05,2.223684210526316,0.04906480104266963,0.0032894736842105253,0.01864035087719298
9,0.5210526315789474,0.00015,2.116618075801749,0.053523048949402866,0.0029154518950437313,0.01652089407191448
10,0.5210526315789474,0.0001,2.1375,0.035120191833757225,0.003125,0.009375
1,0.5731578947368421,0.00025,2.2477341389728096,0.04423053109817911,0.0030211480362537756,0.028197381671701903
2,0.5731578947368421,0.0001,2.2287581699346406,0.057988772155396516,0.0032679738562091487,0.029411764705882346
3,0.5731578947368421,0.000125,2.187311178247734,0.015658156417943003,0.0030211480362537756,0.02668680765357502
4,0.5731578947368421,5e-05,2.112280701754386,0.0236319535213887,0.0035087719298245606,0.010526315789473684
5,0.5731578947368421,0.00025,2.2035087719298247,0.06202910850510042,0.003508771929824561,0.027485380116959054
6,0.5731578947368421,0.00015,2.2118380062305296,0.029016152501489256,0.0031152647975077868,0.04361370716510905
7,0.5731578947368421,0.00015,2.1965317919075145,0.041054733085131044,0.002890173410404625,0.03034682080924855
8,0.5731578947368421,0.00025,2.11875,0.011270233236726407,0.003125,0.015624999999999997
9,0.5731578947368421,0.0002,2.207119741100324,0.03130803396449645,0.003236245954692555,0.041531823085221166
10,0.5731578947368421,0.0001,2.1899109792284865,0.05733546131150098,0.0029673590504451027,0.03659742828882297
1,0.6252631578947369,0.0004,2.169491525423729,0.04677753855353848,0.002824858757062146,0.02448210922787193
2,0.6252631578947369,5e-05,2.074074074074074,0.03685974109702923,0.0033670033670033664,0.02244668911335577
